id|longitude|latitude|tipogeo|uf|muncipio|cod_ibge|nome|end_orig|bairro_orig|num_orig|cep_orig|compl_orig|tipo_logradouro|nome_logradouro|km|num_logradouro|complemento|bairro|cep|esfera_adm|tipo_esfera|ddd|telefone1|telefone2|email|site
1|-47.942117|-15.847582|2|DF|Brasília|5300108|Fundação Jardim Zoológico de Brasília|Avenida das Nações|Asa Sul| |70610-100|Via L-4 Sul|AV|DAS NACOES| | |VIA L-4 SUL|ASA SUL|70610-100| | |61|3345-2937|3345-3093|presi@zoo.df.gov.br|www.zoo.df.gov.br
2|-47.853899|-15.896622|2|DF|Brasília|5300108|Jardim Botânico de Brasília|SMDB Conjunto 12|Lago Sul| |71680-120| | |SMDB CONJUNTO 12| | | |LAGO SUL|71680-120| | |61|3366-2141|3366-3831|faleconosco@jardimbotanico.df.gov.br|www.jardimbotanico.df.gov.br
3|-49.235338|-16.674751|1|GO|Goiânia|5208707|Museu Antropológico|Av. Universitária|Setor Universitário|1.166|74605-010|Universidade Federal de Goiás|AV|UNIVERSITARIA| |1166|UNIVERSIDADE FEDERAL DE GOIAS|SETOR UNIVERSITARIO|74605-010| | |62|3209-6010|3209-6371| |www.museu.ufg.br
4|-49.252103|-16.671|1|GO|Goiânia|5208707|Planetário da Universidade Federal de Goiás|Av. Contorno|Setor Central|s/n|74055-140|Parque Mutirama|AV|CONTORNO| |S/N|PARQUE MUTIRAMA|SETOR CENTRAL|74055-140| | |62|3225-8085|3225-8028| |www.planetario.ufg.br
5|-55.341082|-21.991442|2|MS|Dourados|5003702|Observatório Solar Indígena|Rodovia Dourados Itahum|Cidade Universitária| |79804-970|Km 12|ROD|DOURADOS ITAHUM|KM 12| | |CIDADE UNIVERSITARIA|79804-970| | |67|3902-2360|3902-2364|psilva@uems.br|www.uems.br
6|-35.731072|-9.661278|2|AL|Maceió|2704302|Museu de História Natural|Rua Aristeu de Andrade|Farol|452|57021-090| |R|ARISTEU DE ANDRADE| |452| |FAROL|57021-090| | |82|3221-2724|3221-4172| | 
7|-35.730332|-9.660514|2|AL|Maceió|2704302|Usina Ciência|Rua Aristeu de Andrade|Farol|452|57021-090| |R|ARISTEU DE ANDRADE| |452| |FAROL|57021-090| | |82|3221-2724|3221-4172|usina.ciencia@fapeal.br|www.usinaciencia.ufal.br
8|-38.430017|-12.929447|2|BA|Salvador|2927408|Jardim Botânico de Salvador|Av. São Marcos|São Marcos|s/n|41253-190| |AV|SAO MARCOS| |S/N| |SAO MARCOS|41253-190| | |71|3393-1266| |jardimbotanico@salvador.ba.gov.br|www.jb.salvador.ba.gov.br/index.asp?pg=jb
9|-38.978852|-12.240015|2|BA|Feira de Santana|2910800|Museu Antares de Ciência e Tecnologia|Rua da Barra|Jardim Cruzeiro|925|44015-430| |R|DA BARRA| |925| |JARDIM CRUZEIRO|44015-430| | |75|3624-1921| |museuantares@uefs.br|www.uefs.br/antares
10|-38.510216|-12.973111|2|BA|Salvador|2927408|Museu de Arqueologia e Etnologia|Terreiro de Jesus|Pelourinho|s/n|40025-010|Prédio da Faculdade de Medicina| |TERREIRO DE JESUS| |S/N|PREDIO DA FACULDADE DE MEDICINA|PELOURINHO|40025-010| | |71|3283-5530|3283-5533|mae@ufba.br|www.ufba.br/instituicoes/ufba/mae
11|-38.431083|-12.969138|2|BA|Salvador|2927408|Museu de Ciência & Tecnologia da Bahia|Av. Jorge Amado|Imbuí|s/n|41710-050| |AV|JORGE AMADO| |S/N| |IMBUI|41710-050| | |71|3231-9368| |mc&t@listas.uneb.br|www.museu.uneb.br
12|-38.522183|-12.987883|1|BA|Salvador|2927408|Museu Geológico da Bahia|Av. Sete de Setembro|Corredor da Vitória|2.195|40080-002| |AV|SETE DE SETEMBRO| |2195| |CORREDOR DA VITORIA|40080-002| | |71|3336-3498|3336-6922|atendimento@mgb.ba.gov.br|www.oaf.org.br
13|-38.49795|-12.956178|1|BA|Salvador|2927408|Universidade da Criança e do Adolescente|Rua do Queimado|Liberdade|17|40325-260| |R|DO QUEIMADO| |17| |LIBERDADE|40325-260| | |71|3319-9730| |unica@oaf.org.br| 
14|-38.511035|-13.008237|2|BA|Salvador|2927408|Zoológico de Salvador|Rua Alto de Ondina|Ondina|s/n|40170-110| |R|ALTO DE ONDINA| |S/N| |ONDINA|40170-110| | |71|3116-7954| | |www.zoo.ba.gov.br
