id|longitude|latitude|tipogeo|uf|cod_ibge|nome|municipio|end_orig|bairro_orig|cep_orig|tipo_logradouro|nome_logradouro|km|num_logradouro|compl_logradouro|bairro|cep|ddd|telefone1|telefone2|email|site|esfera_adm|tipo_esfera|sniic_n1|sniic_n2|sniic_n3|cnpj|grupo_ancine|num_salas
1|-72.639526|-7.654385|1|AC|1200203|Cine Romeu|Cruzeiro do Sul|Av Rodrigues Alves, 60|Centro|69980-000 69980-970|AV|RODRIGUES ALVES| |60| |CENTRO|69980-000| | | | | |Privada| |1|1.1|1.1.5| |INDEPENDENTE|1
2|-67.816236|-9.970097|1|AC|1200401|Cine JOÃO PAULO|Rio Branco|Av Ceará, 2076|Bosque|69908-690|AV|CEARA| |2076| |BOSQUE|69908-690|68|3223-3828| | | |Privada| |1|1.1|1.1.5| |INDEPENDENTE|2
3|-67.847321|-9.987769|2|AC|1200401|VIA VERDE SHOPPING|Rio Branco|Estrada da Floresta, 2.320|Floresta Sul|69912-900|ESTR|DA FLORESTA| |2320| |FLORESTA SUL|69912-900|68|3302-1707| | |http://www.viaverdeshopping.com.br/site/cinema/|Privada| |1|1.1|1.1.5| |ARAUJO|4
4|-35.745254|-9.560545|2|AL|2704302|Centerplex Shopping Pátio Maceió|Maceió|Av Menino Marcelo, 3800|Cidade Universitária|57073-900|AV|MENINO MARCORONELO| |3800| |CIDADE UNIVERSITARIA|57073-900|82|3311-4444| | |http://www.patiomaceio.com.br/cinema/|Privada| |1|1.1|1.1.5| |CENTERPLEX|5
5|-35.716976|-9.672965|1|AL|2704302|Cine Sesi Pajuçara|Maceió|Av Doutor Antonio Gouveia, 113|Pajuçara|57030-170|AV|DOUTOR ANTONIO GOUVEIA| |113| |PAJUCARA|57030-170|82|3235-5191| | |http://www.centroculturalsesi.com.br/index.php?option=com_content&view=category&layout=blog&id=77&Itemid=485|Privada| |1|1.1|1.1.5| |INDEPENDENTE|1
6|-35.738186|-9.627902|1|AL|2704302|Cinema Farol|Maceió|Av Fernandes Lima, 2551|Farol|57057-450|AV|FERNANDES LIMA| |2551| |FAROL|57057-450|82|3338-1090| | |http://www.farolmaceio.com.br/cinema/?pag=cinema|Privada| |1|1.1|1.1.5| |LUMIERE|2
7|-35.716332|-9.648036|2|AL|2704302|Kinoplex Maceió|Maceió|Av Augusto Paiva, 2990|Mangabeiras|57032-901|AV|AUGUSTO PAIVA| |2990| |MANGABEIRAS|57032-901|82|2126-1010| | |http://www.maceioshopping.com/blog/2012/03/kinoplex-5/|Privada| |1|1.1|1.1.5| |GSR|6
8|-58.445372|-3.138971|2|AM|1301902|Cine Theatro Dib Barbosa|Itacoatiara|Rua Rui Barbosa, 595| |69100-970|R|RUI BARBOSA| |595| | |69100-970|92|8131-9778| | |http://cinetheatrodibbarbosa.blogspot.com.br/|Privada| |1|1.1|1.1.5| |INDEPENDENTE|1
9|-60.024511|-3.078888|1|AM|1302603|Cinema Amazonas|Manaus|Av Djalma Batista, 482|Parque 10 de Novembro|69050-010|AV|DJALMA BATISTA| |482| |PARQUE 10 DE NOVEMBRO|69050-010|92|3303-9000| | |http://www.amazonasshopping.com.br/main.asp?Team=%7BAE9AEB3B-73A1-4896-B861-DB16CC764278%7D|Privada| |1|1.1|1.1.5| |GSR|6
10|-60.024182|-3.095083|1|AM|1302603|Cinemais Manaus Plaza Shopping|Manaus|Av Djalma Batista, 2100|Chapada|69050-010|AV|DJALMA BATISTA| |2100| |CHAPADA|69050-010|92|3236-7469| | |http://www.cinemais.com.br/programacao/cinema.php?cc=20|Privada| |1|1.1|1.1.5| |CINEMAIS|8
