id|longitude|latitude|tipogeo|uf|cod_ibge|municipio|nome|end_orig|end_correspondencia_orig|bairro_orig|cep_orig|tipo_logradouro|nome_logradouro|km_logradouro|num_logradouro|compl_logradouro|bairro|cep|ddd|telefone1|telefone2|telefone3|site|esfera_admin|tipo_esfera|sniic_n1|sniic_n2|sniic_n3|local|cnpj|ano_criacao|ano_abertura|orcamento_proprio|qt_bens_acervo|qt_bens_exatidao|acervo_qt_antropologia_etnografia|acervo_qt_arqueologia|acervo_qt_artes_visuais|acervo_qt_cienciasnaturais_historianatural|acervo_qt_ciencia_tecnologia|acervo_qt_historia|acervo_qt_imagem_som|acervo_qt_virtual|acervo_qt_arquivistico|acervo_qt_biblioteconomico|acervo_qt_documental|acervo_qt_outros|situacao|ingresso_cobrado|ingresso_valor|infra_turistas_estrangeiros|infra_turistas_sinalizacao|sinalizacao_idioma|infra_turistas_etiquetas|etiquetas_idioma|infra_turistas_publicacoes|publicacoes_idioma|infra_turistas_outros|outros_idioma|bebedouro|estacionamento|lanchonete_retaurante|livraria|loja|sanitarios|telefone_publico|outras_instalacoes_1|outras_instalacoes_2|pne_vagas_exclusivas_estacionamento|pne_elevadores_acessiveis|pne_rampa_de_acesso|pne_sanitarios_adaptados|pne_sinalizacao_braile|pne_etiquetas_braile|pne_outros_1|pne_outros_2|medidas_preventivas|medidas_preventivas_treinamento_profissionais|medidas_preventivas_brigada|medidas_preventivas_revisao_extintores|medidas_preventivas_revisao_rede_eletrica|medidas_preventivas_outras
1|-68.498863|-10.653565|1|AC|1200708|Xapuri|Museu do Xapury|Rua Coronel Brandão, 156.| |Centro|69930-000|R|CORONEL BRANDAO| |156| |CENTRO|69930-000|68|3222-7269|9984-3070|3223-9688| |Pública|Estadual|1|1.7|1.7.1| | |2005|2005| |1158|Aproximado|970|13|8|0|0|280|0|0|0|0|0|0|Aberto|0|0|0|0|0|0|0|0|0|0|0|1|0|0|0|0|1|0|0|-|0|0|0|0|0|0|0|0|1|0|0|0|1|0
2|-67.809807|-9.970982|1|AC|1200401|Rio Branco|Museu da Borracha Gov. Geraldo Mesquita|Avenida Ceará, 1.441 / Endereço para correspondência: Avenida Getúlio Vargas, s/nº - Praça Eurico Dutra (Museu do Palácio Rio Branco) Cep.: 69900-660|AVENIDA GETULIO VARGAS, S/Nº - PRACA EURICO DUTRA (MUSEU DO PALACIO RIO BRANCO) CEP: 69900-660|Centro|69900-670|AV|CEARA| |S/N| |CENTRO|69900-670|68|3223-1202|3224-6605| | |Pública|Estadual|1|1.7|1.7.1| | |1978|1978| |42484|Aproximado|383|21|27|0|0|594|9696|0|0|0|0|31757|Aberto|0|0|0|0|0|0|0|0|0|0|0|1|0|0|0|0|1|0|0|-|0|0|0|0|0|0|0|0|1|0|0|1|1|0
3|-67.826128|-9.958511|2|AC|1200401|Rio Branco|Casa de Memória Daniel Pereira de Mattos|Rua São Sebastião, 524.| |Vila Ivonete|69914-400|R|SAO SEBASTIAO| |524| |VILA IVONETE|69914-400|68|3227-4455|8401-5756|9984-2822| |Outra|Entidade Religiosa|1|1.7|1.7.2| | |1995|1995|Não|23000|Aproximado|483|1|209|0|0|18000|4500|0|0|0|0|0|Aberto|0|0|1|0|0|0|0|1|Alemão, Inglês e Espanhol.|0|0|1|1|0|0|0|1|0|0|-|0|0|0|0|0|0|0|0|1|0|0|0|1|0
4|-67.809651|-9.975236|2|AC|1200401|Rio Branco|Palácio Rio Branco|Avenida Getúlio Vargas, s/n - Praça Eurico Dutra (Museu do Palácio Rio Branco)| |Centro|69900-660|AV|GETULIO VARGAS| |S/N|PRACA EURICO DUTRA (MUSEU DO PALACIO RIO BRANCO)|CENTRO|69900-660|68|3223-9240|3223-9262|3223-9241| |Pública|Estadual|1|1.7|1.7.1| | |2002|2002|Não|319|Aproximado|47|6|28|49|0|13|67|109|0|0|0|0|Aberto|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|-|0|1|1|1|0|0|0|0|1|0|0|1|1|0
5|-67.866015|-9.957507|2|AC|1200401|Rio Branco|Laboratório de Pesquisas Paleontológicas|Universidade Federal do Acre - Rodovia BR 364, 6.637 (Km 04) - Campus Universitário Aulio Gelio Alves de Souza| |Distrito Industrial|69915-900|ROD|BR-364|KM 4|6637|CAMPUS UNIVERSITARIO AULIO GELIO ALVES DE SOUZA|DISTRITO INDUSTRIAL|69915-900|68|3901-2531| | |www.ufac.br/ensino/laboratorios/Paleontologia/index.htm|Pública|Federal|1|1.7|1.7.1|UNIVERSIDADE FEDERAL DO ACRE| |1983|1983|Não|5000|Aproximado|0|0|0|5000|0|0|0|0|0|0|0|0|Aberto|0|0|0|0|0|0|0|0|0|0|0|1|1|1|1|0|1|1|0|-|0|0|0|0|0|0|0|0|0|0|0|0|0|0
6|-68.656807|-9.06864|1|AC|1200500|Sena Madureira|Museu de Sena Madureira|Rua Avelino Chaves, 1.234| |Centro|69940-000|R|AVELINO CHAVES| |1234| |CENTRO|69940-000|68|3612-2838|3612-2062| | |Pública|Estadual|1|1.7|1.7.1| | |-|2004|Não|51|Aproximado|0|5|11|0|0|34|0|0|0|0| |0|Aberto|0|0|0|0|0|0|0|0|0|0|0|1|1|0|0|0|1|0|0|-|0|0|1|0|0|0|0|0|1|0|0|1|1|0
7|-67.548369|-9.581761|2|AC|1200807|Porto Acre|Sala Memória de Porto Acre|Rua Dr. Diocleciano, 50| |Centro|69921-000|R|DOUTOR DIOCLECIANO| |50| |CENTRO|69921-000|68|3233-1146| | | |Pública|Estadual|1|1.7|1.7.1| | |1991|1991| |0|0|0|0|0|0|0|0|0|0|0|0|0|0|Aberto|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|-|0|0|0|0|0|0|0|0|0|0|0|0|0|0
8|-67.809857|-9.974047|2|AC|1200401|Rio Branco|Memorial dos Autonomistas – Senador José Guiomard dos Santos|Avenida Getúlio Vargas, 305 - Praça dos Seringueiros| |Centro|69900-660|AV|GETULIO VARGAS| |305|PRACA DOS SERINGUEIROS|CENTRO|69900-660|68|3224-6417|3224-2133| | |Pública|Estadual|1|1.7|1.7.1| | |1999|2002|Não|562|Aproximado|0|0|16|0|0|19|400|0|0|115| |0|Aberto|0|0|0|0|0|0|0|0|0|0|0|1|0|1|0|0|1|0|0|-|0|0|1|1|0|0|0|0|1|0|0|1|1|0
9|-67.862847|-9.953396|2|AC|1200401|Rio Branco|Parque Zoobotânico|Campus Universitário Reitor Aulio Gelio Alves de Souza - Rodovia BR 364, Km 04| |Distrito Industrial|69915-900|ROD|BR-364|KM 4| | |DISTRITO INDUSTRIAL|69915-900|68|3901-2680|3901-2981| |http://www.ufac.br/pesquisa/pz/pz.htm|Pública|Federal|1|1.7|1.7.1|CAMPUS UNIVERSITARIO REITOR AULIO GELIO ALVES DE SOUZA| |1979|1979| |0|0|0|0|0|0|0|0|0|0|0|0|0|0|Aberto|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|-|0|0|0|0|0|0|0|0|0|0|0|0|0|0
10|-67.810944|-9.960511|1|AC|1200401|Rio Branco|Museu da Luz - Eletroacre|Rua Valério Magalhães, 226| |Bosque|69909-710|R|VALERIO MAGALHAES| |226| |BOSQUE|69909-710|68|3212-5875| | |www.eletroacre.com.br/a-empresa/museu-da-luz|Outra|Mista Empresa de economia mista: Federal e Privado|1|1.7| | | |2006|2006| |0|0|0|0|0|0|0|0|0|0|0|0|0|0|Fechado|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|-|0|0|0|0|0|0|0|0|0|0|0|0|0|0
