id|longitude|latitude|tipogeo|uf|municipio|cod_ibge|nome|endereco|cep|ddd1|telefone1|ddd2|telefone2|nome_resp|email|email1|email2|instituicao|infos
1|-48.084132|-15.729493|0|DF|Braslândia|5300108|Sala Verde SUPREN|Fazenda Paraíso na Terra, DF-101, Km 4|71535-055|61|3368-1752|61|3368-6480|Ulisses Riedel de Resende/ Vanda Beatriz Reis Vieira Reidel de Rezende|vanda.riedel@riedel.com.br, ulisses@riedel.com.br| | |União Planetária|O Projeto Sala Verde, coordenado pelo Departamento de Educação Ambiental do Ministério do Meio Ambiente (DEA/MMA) consiste no incentivo à implantação de espaços socioambientais para atuarem como potenciais Centros de Informação e Formação Ambiental.
2|-48.20098|-15.672689|0|DF|Braslândia|5300108|Sala Verde|Q. 02 aréa especial/setor tradicional (posto BR)|72.720-610| | | | |Marcos Aurélio da Silva Oliveira| | | |Associação de Guias e Condutores de Turismo de Brazlândia - AGUIACOBRA|O Projeto Sala Verde, coordenado pelo Departamento de Educação Ambiental do Ministério do Meio Ambiente (DEA/MMA) consiste no incentivo à implantação de espaços socioambientais para atuarem como potenciais Centros de Informação e Formação Ambiental.
3|-47.856389|-15.740556|0|DF|Brasília|5300108|Sala Verde IluMina|Endereço da sala verde: Nucleo rural corrego do palha, trecho 4 chacara 176- lago norte /Endereço para recebimento de material: SMLN QI 4 conjunto 1 casa 3 - lago norte|71540-045|61|8173-7843|61|9685-3985|Maria Ione Veiga/ Alan Santos Jacob|luadafloresta@yahoo.com.br| | |Sem Nome|O Projeto Sala Verde, coordenado pelo Departamento de Educação Ambiental do Ministério do Meio Ambiente (DEA/MMA) consiste no incentivo à implantação de espaços socioambientais para atuarem como potenciais Centros de Informação e Formação Ambiental.
4|-47.835769|-15.859914|0|DF|Brasília|5300108|Sala Verde|SMDB conj. 12 - lago sul|71680-120| | | | |Danielle Pereira Abud|edambientaljbb@gmail.com| | |Jardim Botânico de Basília /Gerência de Educação Ambiental|O Projeto Sala Verde, coordenado pelo Departamento de Educação Ambiental do Ministério do Meio Ambiente (DEA/MMA) consiste no incentivo à implantação de espaços socioambientais para atuarem como potenciais Centros de Informação e Formação Ambiental.
5|-48.029522|-15.864954|0|DF|Taguatinga|5300108|Sala Verde - Centro de Desenvolvimento de Atividades Sócio-Ambientais da Universidade Católica de Brasília- UCB|QS 07 Lote 01 EPCT Campus I– Universidade Católica de Brasília – UCB [ Secretaria da Engenharia Ambiental]|71966-700|61|3356-9206|61|8430-8147|Will Sandes de Melo / Kilmara Ramos Cruz e Júnia de Oliveira Porto (coresponsável)|willmpo@yahoo.com.br, kilmararamosdacruz@gmail.com, kilmararamos@hotmail.com| | |ECOA Ambiental|O Projeto Sala Verde, coordenado pelo Departamento de Educação Ambiental do Ministério do Meio Ambiente (DEA/MMA) consiste no incentivo à implantação de espaços socioambientais para atuarem como potenciais Centros de Informação e Formação Ambiental.
6|-48.074152|-15.829663|0|DF|Santa Maria|5300108|Sala Verde Ribeirão Vivo|UNB - Campus Darcy Ribeiro - Decanato de Extensão – Prédio da Reitoria 2º andar, Asa Norte, Brasília - SALA VERDE ENDEREÇO: Quadra 419, conjunto F, lote 01 - Santa Maria - DF|72155-060|61|3394-9947|61|3273-7122|Leila Chalub Martins / Maria de Fátima Rodrigues Makiuchi|mikellab@gmail.com| | |Universidade de Brasília - Decanato de Extensão|O Projeto Sala Verde, coordenado pelo Departamento de Educação Ambiental do Ministério do Meio Ambiente (DEA/MMA) consiste no incentivo à implantação de espaços socioambientais para atuarem como potenciais Centros de Informação e Formação Ambiental.
7|-48.064854|-16.017691|0|DF|Gama|5300108|Sala Verde Ponte de Encontro para Todos – PET Gama|Centro Comunitário do Setor Oeste, praça nº 1 do Setor Oeste. Correspondência: Q10 casa 81 – Setor Oeste|72425-100|61|3556-3300|61|8477-4322|Fernando Padilha Pinna/Fernando Padilha Pinna|caca.gdf.brasil@gmail.com| | |Conselho Ambiental Comunitário Administrativo Gama Distrito Federal|O Projeto Sala Verde, coordenado pelo Departamento de Educação Ambiental do Ministério do Meio Ambiente (DEA/MMA) consiste no incentivo à implantação de espaços socioambientais para atuarem como potenciais Centros de Informação e Formação Ambiental.
8|-48.024743|-15.858622|0|DF|Taguantinga|5300108|Sala Verde Mão na Terra|Universidade Catolica de Brasilia - QS 07, Lote 01, Bloco Q, Sala 106 - Taguatinga|71966-700|61|3358-1497|61|3351-1031|Maria Abadia Chaves Barberato/Alda Ilsa de Lima e Gilberto Paulino|sitiogeranium@gmail.com| | |ONG Mão Na Terra|O Projeto Sala Verde, coordenado pelo Departamento de Educação Ambiental do Ministério do Meio Ambiente (DEA/MMA) consiste no incentivo à implantação de espaços socioambientais para atuarem como potenciais Centros de Informação e Formação Ambiental.
9|-52.552873|-18.421767|0|GO|Chapadão do Céu|5205471|Sala Verde Professora Nadir Garcia Cunha|Biblioteca Municipal - Av. Ema, quadra 52 - Centro|75828-000|64|3634-1228|64|3634-1228|Paulo Rodrigues da Cunha/Josenildo Antonio da Silva|meioambiente@chapadaodoceu.go.gov.br| | |Prefeitura Municipal de Chapadão do Céu|O Projeto Sala Verde, coordenado pelo Departamento de Educação Ambiental do Ministério do Meio Ambiente (DEA/MMA) consiste no incentivo à implantação de espaços socioambientais para atuarem como potenciais Centros de Informação e Formação Ambiental.
10|-52.552873|-18.421767|0|GO|Chapadão do Céu|5205471|Sala Verde Lobo-guará|Parque Nacional das Emas, Rodovia GO 206, Km 27|75828-000|64|3929-6000|64|3929-6000|Rogério Oliveira Souza/Maristela Benites da Silva|salaverde_loboguara@yahoo.com.br| | |Parque Nacional das Emas|O Projeto Sala Verde, coordenado pelo Departamento de Educação Ambiental do Ministério do Meio Ambiente (DEA/MMA) consiste no incentivo à implantação de espaços socioambientais para atuarem como potenciais Centros de Informação e Formação Ambiental.
11|-49.612356|-15.321854|0|GO|Ceres|5205406|Sala Verde - Natal|Rodovia GO-154, Km 3 – Zona Rural|76300-000|62|3077100|62|3077100|Welington de Arruda Passarinho /Natália Santiago de Menezes|erosesilva@ibest.com.br, gabineteeafce@ibest.com.br| | |Escola Agrotécnica Federal de Ceres|O Projeto Sala Verde, coordenado pelo Departamento de Educação Ambiental do Ministério do Meio Ambiente (DEA/MMA) consiste no incentivo à implantação de espaços socioambientais para atuarem como potenciais Centros de Informação e Formação Ambiental.
12|-49.285134|-16.640134|0|GO|Goiânia|5208707|Sala verde - Aprender para Viver|Avenida Perimetral Norte, s/n – Setor Goiânia II|74665-510|62|3522-2722| |3522-2723|Nicomedes Domingos Borges/Aparecida Maria D. da Cunha|escolinha@saneago.com.br| | |SANEAGO -Escolinha do Saneamento|O Projeto Sala Verde, coordenado pelo Departamento de Educação Ambiental do Ministério do Meio Ambiente (DEA/MMA) consiste no incentivo à implantação de espaços socioambientais para atuarem como potenciais Centros de Informação e Formação Ambiental.
13|-49.243652|-16.677383|0|GO|Goiânia|5208707|Sala Verde Clubinho da Tartaruga| Rua 229, n. 95 – Setor Leste Universitário|74605-090|62|3901-1997|62|3901-1997|Antônio Pacaya Ihuaraqui /Maria de Lourdes Cantarelli|mlourdescantar@hotmail.com, salaverdeclubinhodatartaruga@hotmail.com| | |RAN/IBAMA|O Projeto Sala Verde, coordenado pelo Departamento de Educação Ambiental do Ministério do Meio Ambiente (DEA/MMA) consiste no incentivo à implantação de espaços socioambientais para atuarem como potenciais Centros de Informação e Formação Ambiental.
