id|cod_teatro|longitude|latitude|tipogeo|uf|municipio|cod_ibge|nome|cod_orig|end_orig|bairro_orig|cep_orig|tipo_logradouro|nome_logradouro|km|num_logradouro|compl_logradouro|bairro|cep|ddd|telefone1|telefone2|fax|email|site|esfera_adm|tipo_esfera|sniic_n1|sniic_n2|sniic_n3|cnpj|situacao|cod_adm|tipo|numero_lugares|data_inauguracao|ano_inauguracao|ano_desaparecimento|data_info
1|1100100|-63.034053|-9.91254|2|RO|Ariquemes|1100023|Teatro do Centro Cultural Rui Barbosa|178|Rua Rio Madeira, s/n.|Centro|78932-000|R|RIO MADEIRA| |S/N| |CENTRO|78932-000|69| | | | | |Pública|Municipal|1|1.3|1.3.1| | | |Arquitetônico Alternativo|400| | | |17-JAN-1997
2|1100200|-61.449007|-11.442397|2|RO|Cacoal|1100049|Teatro Chico Mendes|12|Avenida Castelo Branco, s/n.| |78975-000|AV|CASTELO BRANCO| |S/N| | |78975-000|69| | | | | |Privada| |1|1.3|1.3.2| |8| | |339| | | |23-JUN-1995
3|1100300|-61.944515|-10.882492|2|RO|Ji-Paraná|1100122|Teatro Municipal de Ji-Paraná|480|Av. Castello Branco, s/n|Centro|78958-000|AV|CASTELLO BRANCO| |S/N| |CENTRO|78958-000|69|221-0743| | | | |Pública|Municipal|1|1.3|1.3.1| |3| |Italiano|250| | | |28-OCT-1999
4|1100400|-63.87722|-8.774943|1|RO|Porto Velho|1100205|Ala Cultural Clésio Andrade|1232|Rua da Beira, 999|Jardim Eldorado|78912-480|R|DA BEIRA| |999| |JARDIM ELDORADO|78912-480|69|227-2424| | |senat-ro@enternet.com.br| |Privada| |1|1.3|1.3.2| |1|0|Italiano|201| |1995| |16-SEP-2002
5|1100500|-63.898869|-8.758303|1|RO|Porto Velho|1100205|Teatro Municipal de Porto Velho|127|Rua Joaquim Nabuco, s/n.|Centro|78900-850|R|JOAQUIM NABUCO| |S/N| |CENTRO|78900-850|69|221-4683| | | | |Pública|Municipal|1|1.3|1.3.1| |2| |Italiano|300| | | |23-AUG-1996
6|1100600|-63.909038|-8.750839|2|RO|Porto Velho|1100205|Teatro SESC - Teatro Um|932|Av. Presidente Dutra, s/n|Pedrinhas|78904-670|AV|PRESIDENTE DUTRA| |S/N| |PEDRINHAS|78904-670|69|223-3265|223-3266| | | |Privada| |1|1.3|1.3.2| |1|0|Arquitetônico Alternativo|300| | | |17-JAN-1997
7|1100700|-61.778154|-11.723176|2|RO|Rolim de Moura|1100288|Teatro Municipal Francisca Verônica de Carvalho|2448|Av. Presidente Dutra, s/n esq com Av. Florianópolis|Centro|78987-000|AV|PRESIDENTE DUTRA| |S/N| |CENTRO|78987-000|69|3442-1526| |3442-1854| | |Pública|Municipal|1|1.3|1.3.1| |1|0|Italiano| | | | |06-JAN-2009
8|1200100|-67.862839|-9.953343|2|AC|Rio Branco|1200401|Anfiteatro Garibaldi Carneiro Brasil - UFAC|934|Univ.Fed. do Acre, BR-364, km 4|Distrito Industrial|69915-900| |UNIVFED DO ACRE|KM 4|0| |DISTRITO INDUSTRIAL|69915-900|68|229-2244| | |reitoria@ufac.br| |Pública|Federal|1|1.3|1.3.1| |1|0|Italiano|300| |1988| |16-SEP-2002
9|1200200|-67.808267|-9.979718|1|AC|Rio Branco|1200401|Cine-Teatro Recreio|671|Rua Eduardo Assmar, s/n.|Centro|69901-160|R|EDUARDO ASSMAR| |S/N| |CENTRO|69901-160|68|224-2055| | | | |Pública|Estadual|1|1.3|1.3.1| |1| |Italiano|210| |1948| |16-SEP-2002
10|1200300|-67.808012|-9.979798|2|AC|Rio Branco|1200401|Cine-Teatro Recreio|174|Rua 17 de Novembro, s/n.|Centro| |R|17 DE NOVEMBRO| |S/N| |CENTRO| |68|224-6829| |224-5221| | |Pública|Estadual|1|1.3|1.3.1| |9| |Italiano|200| | | |17-JAN-1996
